episode,variant,sharpe,pnl_net,max_drawdown,turnover,flip_rate,active_ratio,hit_rate
bybit_usdc_depeg_2023,naive,-9.847149170350493,-0.0380980638132116,-0.1464175417048374,5.0,0.0024305555555555,0.5475694444444444,0.4984147114774889
bybit_usdc_depeg_2023,gated,0.0,0.0,0.0,0.0,0.0072916666666666,0.0,0.0
okx_usdc_depeg_2023,naive,67.05855663446864,0.2811706199000885,-0.125933891697092,417.0,0.1618055555555555,0.390625,0.6071111111111112
okx_usdc_depeg_2023,gated,55.66400576945219,0.0049087338440359,-0.0026440560868508,18.0,0.0149305555555555,0.0354166666666666,0.5392156862745098
march_vol_2024_binance,naive,32.098701532705554,-0.002353489415383,-0.0031630743366262,72.0,0.0409722222222222,0.0777777777777777,0.5089285714285714
march_vol_2024_binance,gated,21.951045217318068,0.0006974139122781,-0.001070869134141,20.0,0.0100694444444444,0.1079861111111111,0.5016077170418006
yen_unwind_2024_binance,naive,123.79955917446478,0.0294860861411988,-0.0006914758391296,10.0,0.0041666666666666,0.0138888888888888,0.55
yen_unwind_2024_binance,gated,7.06379518698527,0.0004233050065199,-0.0020419328490102,54.0,0.0256944444444444,0.5329861111111112,0.4957654723127035
yen_followthrough_2024_binance,naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yen_followthrough_2024_binance,gated,5.860366789059661,-0.0018002151257526,-0.0024047339035574,52.0,0.0246527777777777,0.2618055555555555,0.5026525198938993
